Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Total_Expense,,,,,,
10049,57,2,Professional,Tier_2,2010,0,376,1282,643,498,418,506,368,736,224,5,542,2988,223,72,87,83,40,10,4,31,7061,,,,,,
59130,61,0,Student,Tier_2,11826,0,2740,7502,3409,2507,2606,3513,2538,0,1441,10,5963,21046,1115,985,609,353,764,52,0,413,38082,,,,,,
11192,51,3,Professional,Tier_2,2238,0,524,1634,691,262,530,509,490,594,296,7,810,3424,274,124,50,33,106,5,4,26,7768,,,,,,
46667,40,1,Professional,Tier_1,14000,4276,1500,5702,2997,1644,1760,3297,1484,3669,862,11,5134,5475,835,200,421,475,636,4,165,47,41191,,,,,,
49487,58,1,Self_Employed,Tier_3,7423,0,1336,5359,3112,1284,2058,3070,2127,2706,551,13,6655,20460,992,697,113,170,886,21,93,148,29026,,,,,,
17181,62,4,Student,Tier_1,5154,1075,382,1765,968,370,764,781,713,1106,446,9,1553,3654,196,271,98,200,42,32,19,44,13524,,,,,,
47790,34,2,Student,Tier_2,9558,0,2186,6007,2611,2382,1176,3665,1822,4282,523,14,6583,13580,602,419,645,282,1065,72,113,112,34212,,,,,,
36949,62,1,Self_Employed,Tier_2,7390,2102,922,4814,2921,1753,1606,2040,1300,3310,427,10,3612,8363,738,173,405,180,432,16,27,111,28585,,,,,,
19494,18,1,Retired,Tier_2,3899,0,575,2512,1060,754,791,1263,907,1425,339,7,1341,5969,198,245,135,169,208,29,50,39,13525,,,,,,
13388,24,0,Self_Employed,Tier_1,4016,0,594,1467,728,536,483,954,455,0,305,6,858,3849,173,87,150,97,279,21,0,28,9538,,,,,,
6241,30,3,Professional,Tier_2,1248,1191,271,637,486,179,173,359,258,381,96,8,516,959,187,104,41,26,83,5,19,28,5279,,,,,,
39683,31,3,Student,Tier_1,11905,0,1311,5708,2445,876,1688,2903,1471,2468,755,8,3107,8155,1110,229,206,392,369,10,99,225,31530,,,,,,
8579,34,4,Student,Tier_1,2574,667,350,1049,440,378,269,686,316,776,198,7,618,877,187,55,46,58,201,11,11,54,7703,,,,,,
32378,47,3,Professional,Tier_2,6476,0,879,3409,2032,1204,921,2407,1092,1750,541,6,2007,11667,518,337,349,263,612,35,85,85,20711,,,,,,
24299,64,1,Professional,Tier_3,3645,3376,1164,3232,1733,823,503,1916,840,1321,390,5,1285,5356,639,337,66,140,422,29,26,41,18943,,,,,,
51651,51,0,Professional,Tier_1,15495,6757,2508,6851,3525,2073,2426,2643,1567,0,1461,12,6274,6346,1716,881,240,128,440,18,0,191,45306,,,,,,
23560,44,3,Self_Employed,Tier_2,4712,2189,1137,3078,1599,819,735,1428,779,2262,331,9,2094,4490,569,173,79,152,107,32,21,39,19069,,,,,,
23049,42,2,Retired,Tier_2,4610,0,892,2573,1842,738,680,1570,1072,1769,389,6,1327,6915,687,267,149,134,368,18,22,72,16135,,,,,,
53876,61,2,Professional,Tier_2,10775,0,1193,7678,3385,2242,1088,4290,1906,4964,1315,15,7858,15041,1693,448,359,286,1261,50,25,140,38836,,,,,,
39222,52,2,Professional,Tier_3,5883,0,1506,4095,2194,1411,1284,2409,1336,2630,1096,8,3035,15377,804,451,407,310,717,65,43,77,23844,,,,,,
38634,26,3,Self_Employed,Tier_1,11590,0,1262,4089,2399,971,1460,2698,1271,3647,882,9,3432,8365,1224,375,181,183,466,60,144,218,30269,,,,,,
43668,23,0,Professional,Tier_3,6550,6425,1391,5207,3164,1800,1986,3141,1649,0,1147,12,5309,11207,346,197,372,147,814,31,0,187,32460,,,,,,
8782,43,3,Professional,Tier_3,1317,868,183,1273,586,276,207,428,399,718,108,7,584,2419,105,175,76,52,124,17,24,18,6363,,,,,,
54961,55,1,Student,Tier_2,10992,6521,2540,7756,3557,2372,2416,2309,2535,3455,1641,12,6802,8868,1405,222,328,669,566,117,14,371,46094,,,,,,
48968,56,3,Professional,Tier_2,9794,0,2239,7122,3047,2414,1784,2758,1867,4052,1412,13,6366,12479,632,724,366,455,205,39,106,275,36489,,,,,,
13301,44,2,Retired,Tier_3,1995,1425,395,1796,1053,468,558,816,598,1076,182,10,1289,2938,251,268,26,64,200,4,4,14,10362,,,,,,
24679,57,2,Retired,Tier_3,3702,4605,1217,3235,1725,1043,939,1079,767,1988,390,10,2460,3989,763,105,272,154,271,0,7,46,20690,,,,,,
29071,48,0,Professional,Tier_2,5814,0,700,4046,2096,1052,1374,1239,1408,0,807,6,1859,10535,508,545,265,351,142,19,0,140,18536,,,,,,
26940,20,4,Self_Employed,Tier_3,4041,0,1214,2963,1766,1324,901,2097,998,2510,496,7,1952,8630,520,180,147,140,623,12,64,131,18310,,,,,,
39185,41,2,Professional,Tier_2,7837,7428,1515,4137,2598,1448,1413,2431,1188,2896,421,9,3369,5873,1166,740,260,256,544,40,76,81,33312,,,,,,
94282,32,2,Student,Tier_3,14142,0,3260,13814,5544,3103,3851,4164,3276,9200,1634,12,11136,32294,897,1497,289,350,562,49,80,259,61988,,,,,,
71280,23,4,Retired,Tier_1,21384,7563,3486,10113,4035,2181,2472,3991,2739,5748,973,12,6593,6593,2690,624,268,271,1125,88,132,98,64685,,,,,,
10500,28,3,Student,Tier_2,2100,0,394,1271,757,275,415,583,369,824,119,8,805,3394,311,75,19,79,52,11,41,35,7107,,,,,,
49346,47,2,Self_Employed,Tier_2,9869,4295,2221,6854,2554,1526,1013,2574,2278,4166,1238,14,7148,10756,1347,385,435,214,326,27,51,332,38588,,,,,,
86864,52,0,Student,Tier_2,17373,0,2342,10901,6877,3309,3305,5881,3467,0,2191,11,9773,31217,2993,540,514,935,1719,65,0,185,55646,,,,,,
40880,55,3,Self_Employed,Tier_2,8176,6561,857,4121,3118,884,1175,2113,1916,2123,1160,14,5843,8676,934,625,172,132,490,23,16,247,32204,,,,,,
71807,60,3,Retired,Tier_3,10771,0,1891,7235,5310,2437,3230,5333,2717,6712,731,14,9957,25440,1033,705,186,407,421,127,205,102,46367,,,,,,
150057,57,2,Student,Tier_1,45017,0,7450,18554,10498,4390,4036,11486,7008,10478,3583,15,22589,27558,950,2236,420,1205,2039,122,405,883,122500,,,,,,
68045,46,3,Student,Tier_1,20413,0,2507,8799,4732,3273,2837,5051,2771,3618,1579,15,10028,12464,1473,254,642,391,626,29,126,128,55580,,,,,,
36622,40,3,Professional,Tier_2,7324,0,1657,5169,2649,1473,1701,2372,1232,2109,1019,9,3185,9916,1358,209,277,328,391,15,48,91,26705,,,,,,
69218,59,0,Self_Employed,Tier_2,13844,6732,2807,8963,5361,2825,1626,4729,2415,0,890,11,7393,19027,2333,542,405,83,342,79,0,249,50192,,,,,,
33687,59,3,Professional,Tier_2,6737,0,830,4368,2208,1336,1640,2242,1119,2047,764,6,1973,10395,927,466,208,240,352,52,28,218,23291,,,,,,
30579,20,2,Self_Employed,Tier_2,6116,3735,716,4582,1684,1254,791,1388,1052,1751,610,5,1607,6902,1063,471,219,123,156,31,30,179,23679,,,,,,
22648,43,2,Professional,Tier_3,3397,0,783,2267,1191,647,931,945,1074,2077,467,10,2242,8870,404,86,135,135,48,8,97,131,13779,,,,,,
104787,31,4,Retired,Tier_2,20957,0,5057,12305,6898,4143,4764,8284,4784,6619,1950,17,17771,29025,2900,1086,334,1007,1340,220,152,425,75761,,,,,,
15587,36,1,Student,Tier_2,3117,2051,374,2283,1084,528,319,1071,686,1521,337,8,1280,2216,366,254,67,51,164,1,62,47,13371,,,,,,
102216,38,4,Professional,Tier_2,20443,0,3583,12179,7792,3935,4945,4312,5070,9079,1276,18,18844,29601,690,1685,356,739,332,21,201,371,72614,,,,,,
44750,38,0,Student,Tier_2,8950,0,1915,5013,3453,1506,1398,3124,1605,0,1235,11,5046,16552,1227,597,276,270,586,40,0,323,28199,,,,,,
9794,26,0,Self_Employed,Tier_3,1469,0,219,1194,698,428,360,585,403,0,233,7,695,4205,305,58,87,105,173,18,0,26,5589,,,,,,
40258,30,2,Self_Employed,Tier_2,8052,7973,1297,5571,3110,1252,1716,2805,1978,3703,403,11,2400,2400,1649,599,245,225,405,86,28,49,37860,,,,,,
5591,58,1,Retired,Tier_2,1118,0,202,772,433,255,176,253,244,378,107,10,538,1654,200,91,15,33,43,2,6,28,3938,,,,,,
49482,61,4,Retired,Tier_2,9896,0,1152,5773,2912,1324,1807,2109,2174,4799,1441,15,7294,16093,1718,749,253,406,307,18,151,80,33387,,,,,,
60909,63,1,Student,Tier_1,18273,0,2417,6449,3733,2803,1573,4429,2184,4628,830,13,7771,13590,423,512,601,290,542,17,156,86,47319,,,,,,
18677,54,2,Professional,Tier_1,5603,0,787,2768,1400,649,473,1156,604,1842,541,10,1866,2852,248,314,171,91,187,14,48,128,15823,,,,,,
33117,55,3,Retired,Tier_1,9935,0,1298,3693,2637,1043,1620,1368,1048,1864,823,9,3114,7786,973,620,210,348,180,4,56,170,25329,,,,,,
143240,62,2,Student,Tier_3,21486,0,3183,20965,7727,4723,4105,7419,4758,12958,1771,22,30829,54145,1556,2112,338,1135,1833,123,433,259,89095,,,,,,
20017,62,2,Professional,Tier_2,4003,2151,404,2405,1509,820,958,1460,845,1222,467,9,1753,3772,435,320,106,138,394,19,38,99,16244,,,,,,
12859,41,1,Retired,Tier_2,2572,1434,565,1921,740,353,309,975,451,760,241,6,831,2539,546,64,71,76,215,5,23,15,10321,,,,,,
98153,55,0,Student,Tier_3,14723,5912,3406,11033,6667,3896,3578,7299,4653,0,2006,13,12580,34981,2473,568,584,883,1705,232,0,279,63173,,,,,,
144210,63,3,Student,Tier_1,43263,0,5329,19244,9332,5330,3116,9566,6176,13299,3844,24,25711,25711,1359,736,1353,589,1177,241,388,301,118499,,,,,,
30089,28,3,Retired,Tier_3,4513,0,1420,4243,2112,610,1227,2325,1497,2970,763,10,2957,8409,1228,431,75,177,465,50,107,228,21680,,,,,,
67381,46,0,Retired,Tier_2,13476,0,2478,8106,5174,1562,2892,5330,2443,0,1007,13,8430,24913,620,1492,434,689,1079,70,0,226,42468,,,,,,
87740,62,1,Retired,Tier_2,17548,13112,2422,9421,5465,2495,3563,5577,4367,7238,1601,12,10147,14931,1527,791,501,642,1513,14,311,204,72809,,,,,,
16564,61,1,Self_Employed,Tier_2,3313,1303,554,1737,1188,673,752,921,547,1330,299,8,1287,3947,507,172,37,41,260,25,31,43,12617,,,,,,
20347,55,0,Professional,Tier_3,3052,0,703,2264,1348,567,539,1303,765,0,377,8,1728,9429,382,393,80,142,77,16,0,34,10918,,,,,,
80310,58,4,Retired,Tier_2,16062,0,3249,8252,5308,3703,1935,5179,3735,4844,1561,15,11682,26484,1233,1109,823,414,1413,2,12,108,53828,,,,,,
115493,34,1,Professional,Tier_2,23099,16404,3529,16562,8856,2853,4134,7493,4357,6357,2382,25,19467,19467,2468,1702,466,759,662,109,154,349,96026,,,,,,
47064,43,0,Student,Tier_1,14119,4061,2127,6363,3472,948,1114,2295,2253,0,867,13,5996,9443,1035,380,73,115,348,22,0,207,37619,,,,,,
14840,43,4,Professional,Tier_2,2968,0,535,1968,911,718,447,644,476,1103,326,8,1193,4744,518,232,119,88,156,8,40,21,10096,,,,,,
147061,29,2,Retired,Tier_2,29412,0,5349,19822,9441,4248,3607,6957,4768,9827,1629,24,35759,52001,2784,970,611,518,1119,90,37,465,95060,,,,,,
19617,35,3,Student,Tier_2,3923,0,840,2585,1062,686,774,975,837,1121,297,5,999,6517,390,248,190,84,113,32,50,17,13100,,,,,,
22945,26,0,Retired,Tier_3,3442,4398,515,2335,1164,841,516,1474,777,0,274,8,1752,7208,303,337,121,119,205,22,0,31,15736,,,,,,
39451,20,1,Retired,Tier_3,5918,0,1840,5081,2468,1238,1020,2438,1756,3679,571,5,2158,13442,487,729,151,264,193,29,65,64,26009,,,,,,
104014,27,3,Student,Tier_2,20803,6458,2687,12549,6843,2252,5013,7853,3491,8557,1200,24,24784,26309,1204,760,515,252,914,49,221,131,77706,,,,,,
59405,60,4,Professional,Tier_2,11881,0,1781,6410,3933,2181,2166,2420,2225,3945,1113,14,8180,21351,789,435,197,499,520,1,56,119,38055,,,,,,
41808,19,3,Professional,Tier_2,8362,7921,951,5573,3333,2087,1727,1777,1294,3422,549,11,4605,4812,1635,402,502,388,301,5,127,42,36996,,,,,,
43459,25,0,Student,Tier_3,6519,0,1483,5276,2605,1795,1320,2571,2169,0,1291,12,5303,18431,855,552,305,77,378,77,0,183,25029,,,,,,
31063,60,2,Retired,Tier_2,6213,0,936,3505,2080,1012,989,1705,1327,1972,830,7,2063,10494,966,447,58,191,211,7,60,62,20569,,,,,,
46886,35,4,Professional,Tier_2,9377,0,1242,6405,3078,2043,1860,2880,1656,3659,820,10,4818,13866,1842,234,449,102,856,54,132,192,33020,,,,,,
3965,56,4,Professional,Tier_3,595,526,100,408,267,183,95,284,122,340,47,6,228,998,27,27,53,20,23,3,16,5,2967,,,,,,
23663,48,4,Retired,Tier_2,4733,0,573,2799,1774,863,664,1380,915,1677,479,7,1599,7807,795,197,174,92,288,33,51,38,15857,,,,,,
36389,31,3,Professional,Tier_2,7278,6935,797,4145,1989,1503,799,2332,1256,2105,515,10,3569,6735,1236,455,149,207,185,53,51,44,29654,,,,,,
11946,56,2,Professional,Tier_1,3584,0,316,1267,733,515,446,660,546,1158,139,7,783,2582,205,138,128,116,181,24,14,34,9364,,,,,,
40864,50,0,Self_Employed,Tier_2,8173,5066,822,4352,2718,1126,1200,2698,1544,0,716,11,4386,12449,265,666,129,281,606,3,0,149,28415,,,,,,
25473,46,0,Self_Employed,Tier_2,5095,1446,572,2822,1322,858,1132,1104,1126,0,434,7,1716,9563,735,183,234,187,309,29,0,67,15911,,,,,,
122190,61,3,Student,Tier_2,24438,0,5987,12343,7394,5767,5517,5469,4495,8637,2895,23,27867,39248,1479,1489,631,462,487,159,214,537,82942,,,,,,
105595,50,0,Student,Tier_2,21119,0,3385,13708,6488,4342,2176,6882,3543,0,1722,22,23475,42230,809,1302,838,297,1223,158,0,382,63365,,,,,,
20667,52,0,Retired,Tier_2,4133,1647,983,2595,1125,687,483,1341,887,0,611,9,1875,6175,653,287,40,66,401,40,0,136,14492,,,,,,
26590,19,2,Self_Employed,Tier_1,7977,2731,851,3798,2087,737,610,1755,896,1889,422,7,1968,2837,854,162,62,103,266,15,52,60,23753,,,,,,
28277,52,3,Student,Tier_1,8483,0,1226,3952,1693,673,823,1183,902,1913,319,10,2729,7109,550,388,193,103,351,13,17,82,21167,,,,,,
20903,49,3,Self_Employed,Tier_2,4181,0,857,3112,1445,1029,938,1364,753,1148,534,5,1059,5542,618,114,57,100,74,25,30,96,15361,,,,,,
35065,53,4,Student,Tier_2,7013,0,872,3546,2712,1749,1395,2769,1299,1812,848,6,2134,11051,709,558,346,79,713,3,48,93,24015,,,,,,
16356,63,0,Professional,Tier_2,3271,0,557,2045,1051,588,693,874,639,0,342,9,1512,6295,371,249,48,126,114,6,0,91,10060,,,,,,
12142,40,1,Professional,Tier_3,1821,2315,287,1316,641,244,244,493,562,944,228,6,688,3048,126,132,32,34,32,2,1,40,9095,,,,,,
49371,22,2,Retired,Tier_2,9874,0,1589,6096,3159,1274,2126,2447,2425,3910,822,14,6856,15649,917,860,121,527,615,29,190,173,33722,,,,,,
49641,64,2,Self_Employed,Tier_1,14892,8136,1414,5420,2860,1403,2208,3287,2100,2766,1211,12,3944,3944,359,768,277,325,610,65,130,243,45697,,,,,,
15764,33,1,Self_Employed,Tier_2,3153,2211,607,1634,1122,533,420,918,579,1204,340,10,1557,3044,289,241,149,47,97,18,54,66,12721,,,,,,
61404,57,4,Self_Employed,Tier_2,12281,0,2600,8689,3774,2559,2544,4531,2820,5790,1502,12,7175,14314,908,833,764,157,723,137,119,242,47090,,,,,,
18100,41,1,Self_Employed,Tier_2,3620,0,858,2201,1366,525,495,1373,810,1234,253,6,1112,5364,291,289,114,81,381,30,12,53,12735,,,,,,
36735,57,1,Professional,Tier_1,11020,0,787,4932,2587,1094,1142,2015,1815,1919,958,9,3482,8466,1036,590,229,123,222,71,53,94,28269,,,,,,
57828,45,4,Professional,Tier_2,11566,0,2446,6106,4471,1471,1210,4609,2551,3752,1572,12,7168,18075,486,680,202,155,1293,84,47,429,39754,,,,,,
29204,42,1,Self_Employed,Tier_1,8761,3386,696,3761,1800,1071,1282,2198,1235,2277,775,8,1963,1963,632,108,206,142,289,17,69,94,27242,,,,,,
43163,24,4,Retired,Tier_2,8633,5051,1988,6104,3177,1324,1265,1799,1849,3771,742,11,4627,7461,719,344,143,78,96,88,139,151,35703,,,,,,
19847,55,0,Self_Employed,Tier_2,3969,0,784,2869,1478,468,483,860,991,0,326,10,1936,7618,674,300,130,59,88,42,0,76,12228,,,,,,
25637,24,4,Student,Tier_2,5127,3791,1207,2952,1327,870,1232,1882,1213,2322,375,9,2403,3339,701,201,64,255,518,20,111,43,22298,,,,,,
25445,39,3,Professional,Tier_2,5089,0,608,3704,1416,1015,743,1767,1240,1693,390,7,1843,7779,556,112,153,64,276,29,26,109,17665,,,,,,
16509,39,3,Professional,Tier_2,3302,2609,570,2053,1191,567,700,1285,776,864,253,8,1294,2338,141,308,118,141,320,6,15,62,14170,,,,,,
26044,44,1,Self_Employed,Tier_1,7813,0,906,2926,1767,1088,1206,1986,1236,1932,710,10,2513,4475,433,300,156,361,416,35,34,211,21570,,,,,,
8691,50,3,Student,Tier_2,1738,0,367,1108,475,314,418,396,421,761,232,6,501,2459,251,122,57,104,104,16,6,64,6230,,,,,,
20252,62,4,Retired,Tier_3,3038,2463,994,2722,1465,687,644,1540,936,1555,589,7,1502,3619,646,288,42,55,83,10,35,161,16633,,,,,,
23886,49,0,Professional,Tier_2,4777,0,487,2487,1773,603,668,1130,743,0,488,9,2216,10730,292,150,94,149,293,14,0,60,13156,,,,,,
24441,56,4,Student,Tier_1,7332,4148,966,3292,1602,782,600,1462,840,1999,512,8,905,905,372,362,96,79,369,15,43,113,23535,,,,,,
24730,49,2,Student,Tier_1,7419,0,525,3409,1958,608,901,1867,1093,2335,681,7,1851,3933,532,550,96,126,463,21,76,147,20796,,,,,,
28554,18,1,Professional,Tier_2,5711,0,933,3471,1707,648,1370,1746,1361,2469,312,9,2608,8827,592,431,38,314,445,30,54,65,19728,,,,,,
44025,27,0,Professional,Tier_1,13207,0,2002,6375,3208,930,2014,2311,2055,0,824,11,4797,11098,1255,727,94,598,382,10,0,211,32926,,,,,,
60389,62,1,Student,Tier_2,12078,7770,2227,6709,4779,1464,1792,3157,1881,4204,807,12,7531,13521,464,555,275,135,937,4,133,200,46868,,,,,,
17839,21,2,Retired,Tier_2,3568,0,812,1954,935,366,520,911,855,1240,503,5,911,6175,309,171,88,92,97,39,6,29,11664,,,,,,
11457,46,3,Student,Tier_3,1719,1458,450,1505,805,518,552,462,556,1094,315,7,808,2025,119,65,72,71,120,28,45,22,9434,,,,,,
13034,24,2,Professional,Tier_2,2607,0,615,1603,724,431,640,814,436,1077,163,8,994,3925,275,176,89,115,43,15,7,13,9110,,,,,,
20317,55,3,Self_Employed,Tier_2,4063,2992,889,2456,1125,513,521,1051,618,1657,394,8,1634,4038,134,171,83,29,231,10,11,98,16279,,,,,,
22639,23,1,Retired,Tier_1,6792,0,945,2973,1335,528,1078,1451,819,1543,359,7,1607,4814,745,193,65,54,375,1,17,88,17823,,,,,,
16203,28,1,Student,Tier_1,4861,0,686,1916,1197,747,624,995,622,1123,242,9,1416,3191,292,324,172,181,158,19,36,69,13013,,,,,,
10637,26,1,Professional,Tier_1,3191,1799,393,1573,752,230,279,691,455,1027,271,5,0,-26,400,57,41,15,93,1,25,65,10661,,,,,,
20828,47,4,Student,Tier_1,6248,0,947,3021,1534,850,948,1362,682,1484,421,7,1550,3331,535,274,191,70,109,31,65,66,17497,,,,,,
34686,39,0,Retired,Tier_2,6937,0,1178,4006,1743,1567,1186,2174,1418,0,351,7,2556,14125,809,486,318,60,549,16,0,28,20560,,,,,,
48290,56,4,Retired,Tier_2,9658,0,1061,5293,2785,2367,1466,3497,2317,4410,487,14,6768,14949,1482,666,675,142,645,95,201,89,33341,,,,,,
19207,26,2,Retired,Tier_2,3841,2680,816,2091,1261,515,509,1486,836,1480,569,7,1357,3120,362,180,137,109,216,8,6,149,16084,,,,,,
21559,55,0,Retired,Tier_1,6468,0,909,2995,1434,792,756,1115,791,0,397,9,1873,5902,650,334,109,213,213,1,0,30,15657,,,,,,
14294,63,1,Retired,Tier_1,4288,0,344,1862,975,392,660,1094,558,742,393,6,786,2986,430,188,20,41,172,25,36,20,11308,,,,,,
29255,50,1,Professional,Tier_2,5851,0,804,3717,1864,1083,1357,1350,1297,1675,694,6,1761,9562,327,527,208,124,96,52,30,157,19692,,,,,,
15218,43,1,Student,Tier_2,3044,0,416,2021,963,434,366,1194,602,1039,416,9,1426,4724,175,211,26,85,264,19,21,109,10495,,,,,,
47451,33,3,Student,Tier_1,14235,8941,1792,6497,3690,2147,1018,2834,1926,4033,856,14,0,-519,461,1048,466,155,567,36,124,89,47969,,,,,,
7189,26,2,Self_Employed,Tier_3,1078,1305,264,800,505,317,319,314,315,417,215,7,500,1339,158,75,39,58,29,8,10,33,5849,,,,,,
22500,40,4,Retired,Tier_2,4500,0,530,3352,1520,934,603,1758,978,1415,442,6,1316,6467,667,150,209,101,163,1,46,107,16032,,,,,,
38171,32,2,Student,Tier_1,11451,6317,1266,4494,1984,1410,1711,1647,1522,2666,1107,10,2596,2596,531,221,323,247,476,43,127,86,35575,,,,,,
34753,36,3,Retired,Tier_1,10426,4147,721,3611,2534,1486,1065,2481,1524,1830,877,10,3385,4051,980,284,379,220,323,29,39,230,30702,,,,,,
258688,59,3,Student,Tier_2,51738,0,6393,36665,19046,12193,9047,19824,11427,18086,5377,22,57978,68894,8066,2620,2369,1795,4669,125,648,918,189796,,,,,,
39688,33,2,Student,Tier_2,7938,0,876,5023,3172,879,1547,1885,1752,2055,631,9,3694,13930,1103,339,246,297,167,54,60,97,25758,,,,,,
13436,42,3,Professional,Tier_3,2015,1907,468,1356,758,294,566,592,620,1071,374,6,746,3416,81,175,32,82,149,20,52,42,10021,,,,,,
27794,52,0,Professional,Tier_2,5559,3502,608,3624,1909,661,958,1405,1064,0,815,7,1950,7689,536,260,147,204,281,51,0,127,20105,,,,,,
7244,30,1,Professional,Tier_2,1449,0,352,949,458,272,213,574,249,521,179,9,630,2028,117,128,73,33,97,4,26,41,5216,,,,,,
28127,63,4,Retired,Tier_2,5625,0,1091,3762,1916,747,1196,1955,1139,2309,350,8,2288,8037,899,433,214,355,515,26,28,44,20090,,,,,,
15406,24,3,Retired,Tier_2,3081,785,665,1999,1087,686,701,1144,759,806,333,8,1217,3358,406,80,55,90,191,27,13,86,12046,,,,,,
62397,51,4,Professional,Tier_1,18719,0,2019,7072,4476,1500,2955,3211,3071,4298,823,15,9085,14253,1089,909,430,166,526,39,210,189,48144,,,,,,
19328,31,1,Student,Tier_2,3866,0,937,2898,1153,437,771,822,960,1681,414,7,1427,5390,624,155,42,81,235,34,40,54,13939,,,,,,
27325,40,2,Retired,Tier_2,5465,4083,1182,3371,1959,902,598,1755,842,2099,468,8,2186,4601,693,419,59,153,140,6,32,123,22724,,,,,,
18043,40,1,Retired,Tier_3,2706,3380,530,2154,1020,741,536,722,649,1504,531,6,1139,3569,194,228,178,103,184,6,36,110,14473,,,,,,
120576,34,4,Self_Employed,Tier_2,24115,15414,2849,12081,6038,4995,2926,9391,5819,10755,3356,19,22836,22836,1366,587,1467,436,2385,223,29,321,97739,,,,,,
23201,30,0,Student,Tier_2,4640,0,784,2980,1802,546,993,1625,1137,0,541,7,1716,8153,825,260,79,51,240,39,0,96,15048,,,,,,
129962,44,2,Student,Tier_2,25992,0,4745,16168,9903,2942,4881,9735,6179,11179,1983,25,31924,36254,3536,758,208,1194,1848,71,243,521,93707,,,,,,
57542,19,3,Self_Employed,Tier_3,8631,0,2069,8478,4023,1153,2799,4492,1807,3310,1305,11,6245,19476,2410,696,68,640,887,25,16,374,38067,,,,,,
44117,54,0,Self_Employed,Tier_2,8823,0,2127,5116,3254,1024,1948,2433,1495,0,575,14,6346,17321,304,518,85,326,212,65,0,57,26795,,,,,,
40293,47,1,Self_Employed,Tier_2,8059,3045,1645,5398,2509,1922,928,2852,1571,3666,421,11,4508,8277,604,337,411,262,724,43,47,83,32016,,,,,,
41109,21,4,Self_Employed,Tier_3,6166,4889,1396,5406,2194,1223,1867,2736,1979,2924,1142,14,5560,9188,1473,597,306,321,645,54,102,304,31922,,,,,,
6418,47,4,Self_Employed,Tier_3,963,0,266,895,450,158,261,440,298,612,88,6,355,1986,262,131,17,23,47,9,4,9,4431,,,,,,
24001,20,4,Self_Employed,Tier_1,7200,0,730,3354,1714,1065,850,1649,759,1532,360,7,1720,4787,996,474,280,149,414,28,64,68,19213,,,,,,
58987,31,1,Retired,Tier_2,11797,0,2594,5910,4479,2449,2577,3278,2763,4607,835,12,7355,17698,612,593,144,129,568,8,209,210,41289,,,,,,
28849,28,2,Retired,Tier_3,4327,1456,1340,4137,1695,1414,673,1739,1018,2604,748,9,2612,7697,333,213,288,65,179,3,16,223,21151,,,,,,
9748,57,3,Retired,Tier_2,1950,0,472,1032,727,208,219,711,308,783,149,6,597,3190,272,149,49,28,66,9,27,9,6559,,,,,,
28768,40,0,Professional,Tier_2,5754,0,605,2953,2139,697,768,2100,1269,0,772,5,1551,11713,652,245,66,181,516,7,0,137,17057,,,,,,
117270,58,1,Self_Employed,Tier_1,35181,18879,3364,16460,6310,4860,2800,4876,4098,8581,3104,24,8758,8758,2600,1478,1267,784,1306,179,405,530,108513,,,,,,
81346,49,4,Self_Employed,Tier_2,16269,12224,2030,8479,4531,2428,2662,4678,2845,7244,2085,10,8451,15870,1993,513,370,190,453,63,216,422,65475,,,,,,
28548,20,3,Self_Employed,Tier_2,5710,4218,1142,2919,1634,1074,1358,1815,1333,1661,604,10,2820,5081,199,273,172,172,150,37,42,90,23468,,,,,,
64223,59,4,Self_Employed,Tier_1,19267,0,1777,7200,4179,2483,2326,2844,2884,4564,710,11,7078,15989,983,1137,332,313,315,68,98,185,48234,,,,,,
22376,18,1,Retired,Tier_1,6713,2575,758,2824,1231,549,1073,1472,949,1355,384,8,1800,2494,611,109,142,115,394,22,0,44,19883,,,,,,
7676,26,4,Self_Employed,Tier_1,2303,835,334,1102,432,246,382,566,371,539,81,8,486,486,95,118,63,76,138,5,11,8,7191,,,,,,
14320,26,1,Professional,Tier_1,4296,1302,652,2089,810,310,315,596,604,1186,215,6,917,1946,549,162,19,28,104,5,44,64,12375,,,,,,
104743,29,4,Retired,Tier_1,31423,0,3995,12849,5717,3094,2105,8172,5046,8507,2328,19,19896,21508,1323,714,638,603,1523,220,356,678,83236,,,,,,
24095,18,1,Retired,Tier_3,3614,0,808,3121,1252,1118,1009,1901,845,1765,413,9,2194,8248,682,363,169,154,195,28,7,24,15846,,,,,,
24692,33,4,Retired,Tier_1,7408,0,541,3610,1415,605,1216,1586,803,1462,541,5,1324,5506,566,375,56,214,180,15,2,145,19187,,,,,,
23602,47,3,Professional,Tier_2,4720,0,994,3273,1458,742,1026,1138,931,1477,464,9,2221,7379,580,202,213,232,280,5,57,97,16223,,,,,,
137621,25,3,Retired,Tier_1,41286,25793,5688,18043,9503,6376,5101,7722,5942,12160,1483,18,0,-1476,2493,723,439,424,1507,66,324,87,139097,,,,,,
